Район_OSM,Населенный_пункт_OSM,place,lat_np,lon_np,population_osm,np_clean,osm_id
Актанышский район,Аккузово,village,55.5204925,53.9282157,,аккузово,node/606106148
,Аккуль,hamlet,54.4948598,52.5008916,,аккуль,way/88107711
Сабинский район,Аккуль-Бигеней,hamlet,55.898758,50.4253179,,аккуль-бигеней,node/805054904
,Акса-Куль,hamlet,54.6290557,53.4298,,акса-куль,node/1720737314
Бугульминский район,Аксай,hamlet,54.597209,52.8992412,,аксай,node/587988534
Заинский район,Аксарино,village,55.341925,51.9065801,,аксарино,way/61509452
,Аксу,village,55.181291,48.0839517,,аксу,way/59151679
Аксубаевский район,Аксубаево,town,54.8450964,50.8062964,,аксубаево,relation/3924470
Аксубаевский район,Аксубаевского лесозавода,hamlet,54.7880792,50.8791691,,аксубаевского лесозавода,way/295013151
Нурлатский район,Аксумла,village,54.4565203,50.6166143,525,аксумла,relation/9705525
,Актазики,hamlet,56.0288075,52.3123289,,актазики,way/62313590
Актанышский район,Актаныш,town,55.716199,54.0592262,8148,актаныш,way/151390806
Актанышский район,Актанышбаш,village,55.7196333,54.0273373,,актанышбаш,node/606106620
,Акташ,hamlet,54.9935014,52.1132734,,акташ,way/73269178
Азнакаевский район,Актюбинский,town,54.8111624,52.8022613,,актюбинский,relation/3438265
,Акшуат,hamlet,54.5785717,53.0774496,,акшуат,way/60320306
Ютазинский район,Алабакуль,hamlet,54.5084066,53.3589929,,алабакуль,way/61228269
,Алабердино,village,55.0915533,48.7085885,,алабердино,way/231814818
,Алан,village,55.8190215,50.145499,,алан,way/308023085
,Алан-Бексер,village,56.1786939,49.1075496,,алан-бексер,way/55885029
Сабинский район,Алан-Елга,village,56.1112953,50.4619056,,алан-елга,way/791659173
,Алан-Зире,hamlet,55.8775896,50.3863297,,алан-зире,node/802081959
,Алан-Полян,village,55.6937208,50.5451806,,алан-полян,way/121853919
,Алат,village,56.195053,49.2079635,,алат,way/60336140
,Алатский спиртзавод,hamlet,56.1987484,49.1234779,,алатский спиртзавод,way/102266429
,Албаба,hamlet,55.613405,48.3367427,,албаба,relation/19218600
,Албай,village,55.767857,50.7370871,,албай,way/72234168
,Алга,village,54.4743499,52.9218134,,алга,way/60627085
,Алга-Куюк,hamlet,56.2003116,49.9476673,,алга-куюк,node/762083818
,Алгаево,village,55.9797449,51.1427521,,алгаево,way/72747520
,Алекина Поляна,village,54.8788934,48.6261383,,алекина поляна,way/100963639
Бавлинский район,Александровка,village,54.4668485,53.2773254,,александровка,way/83917924
Заинский район,Александровская Слобода,village,55.2306173,52.1261567,,александровская слобода,way/61571051
,Александровский,village,55.4681487,49.5557059,,александровский,way/221415271
,Алексеевка,village,55.1523679,51.6755359,,алексеевка,way/61509461
Лаишевский район,Алексеевский,village,55.4429495,49.4480583,,алексеевский,node/760351629
Алексеевский район,Алексеевское,town,55.3098882,50.1067328,,алексеевское,relation/12990889
Дрожжановский район,Алешкин-Саплык,village,54.7523386,47.645621,893,алешкин-саплык,relation/18282438
,Алешкино,hamlet,54.6512451,52.3145069,,алешкино,way/88574172
Заинский район,Алкино,village,55.1213223,52.3188861,,алкино,way/558891747
,Алма-Ата,hamlet,54.6453773,53.1399646,86,алма-ата,way/192888909
Заинский район,Алмалы,hamlet,55.5053106,52.1779964,,алмалы,way/61492308
,Алтай,hamlet,54.7460933,51.9558447,,алтай,node/779202515
,Алферовка,hamlet,54.7761522,52.850493,,алферовка,way/88028368
,Альвидино,village,55.7564478,49.8004457,,альвидино,node/807611661
,Альдермыш,village,56.0210039,49.2148378,,альдермыш,relation/19585234
Буинский район,Алькеево,village,55.1009037,48.0141462,,алькеево,way/113603509
,Альмендерово,village,55.2558561,48.7244403,,альмендерово,way/237350563
,Альметтау,locality,54.8185845,52.1111535,,альметтау,node/10769371347
,Альметьево,village,55.2545522,52.7200404,,альметьево,relation/6894017
,Альметьевск,city,54.9004779,52.3330102,,альметьевск,relation/1687059
Буинский район,Альшеево,village,54.7532907,48.2822149,1247,альшеево,node/795825673
Буинский район,Альшихово,village,54.9368071,48.1676311,,альшихово,node/795367189
,Аман-Ошторма,hamlet,56.1045017,50.7391117,,аман-ошторма,way/236509413
Муслюмовский район,Амикеево,village,55.3650887,53.7064836,,амикеево,node/606105861
,Амирово,village,54.7473906,51.4907682,,амирово,way/371149450
,Анаково,hamlet,55.1568588,52.5817221,,анаково,way/190897659
,Анатыш,village,55.4798564,50.1281228,,анатыш,relation/9705544
Нурлатский район,Андреевка,village,54.6359085,51.000943,,андреевка,node/336524992
,Андрияново Болото,locality,56.1422561,49.3976533,,андрияново болото,node/10539990264
,Андрюш,hamlet,55.3019433,53.6352712,,андрюш,node/781494530
,Анзирское поле,locality,55.7823412,51.5665813,,анзирское поле,node/11065789333
,Анины Салманы,hamlet,54.9965517,49.8192215,,анины салманы,way/363714005
,Анненково,hamlet,54.4786707,52.9786366,,анненково,way/88107677
,Антоновка,village,55.314707,49.1427147,,антоновка,way/57363334
,Аняково,hamlet,55.5324151,53.5165773,,аняково,relation/2577566
Арский район,Апазово,village,56.3871141,49.9792437,,апазово,node/698656781
,Апайкина Гарь,hamlet,56.2474565,50.0627663,,апайкина гарь,node/762080320
,Апастово,town,55.1983142,48.5073027,,апастово,way/92482462
Актанышский район,Апачево,hamlet,55.6059761,53.6340292,,апачево,node/606106356
,Аппаково,village,54.9317222,51.910448,,аппаково,way/73269506
,Апсабаш,hamlet,56.1030371,48.9007489,,апсабаш,way/180322547
,Арасланово,village,55.4874672,48.1955612,,арасланово,way/120402604
,Арбаш,village,56.3304121,50.0897504,,арбаш,way/301568060
Балтасинский район,Арбор,village,56.5487055,50.2130263,,арбор,node/793976735
,Арбузов-Баран,hamlet,55.014611,50.3054932,,арбузов-баран,relation/2434110
,Аргуновка,hamlet,54.6254419,53.0189954,,аргуновка,way/150110438
,Аркатово,village,55.8764722,49.7433563,,аркатово,way/121240508
Арский район,Арняш,hamlet,56.1311716,49.612005,,арняш,node/762231906
Кукморский район,Арпаяз,hamlet,56.141818,50.9988402,,арпаяз,way/264168478
,Арск,town,56.0871697,49.8801417,,арск,relation/2325393
,Артамоновка,hamlet,55.5346731,52.7887216,,артамоновка,way/190723018
,Арташка,hamlet,55.7154769,51.144258,,арташка,way/72234165
Камско-Устьинский район,Архангельские Кляри,hamlet,55.1991175,49.0897985,,архангельские кляри,node/722400798
,Арышхазда,hamlet,55.7023923,49.5070776,,арышхазда,way/120338374
,Асан-Елга,hamlet,56.1220244,50.9422356,,асан-елга,way/236508681
,Асеево,village,54.8343517,53.2417107,,асеево,way/192219913
,Астраханка,hamlet,55.479877,49.2623847,,астраханка,way/239152918
Высокогорский район,Асянь,hamlet,56.153928,49.1081078,,асянь,way/102266879
,Атабаево,village,55.2873278,49.3533326,,атабаево,way/57357882
,Атабай-Анкебе,hamlet,55.0902988,47.9751438,,атабай-анкебе,way/113603514
Атнинский район,Атамыш,hamlet,56.2475775,49.2348601,,атамыш,node/750474648
,Атиаз,hamlet,55.9525554,51.6404005,,атиаз,way/71540700
,Атлас,hamlet,55.3081924,52.9311455,,атлас,node/781494525
,Атня,village,56.6361163,50.3609554,,атня,node/793984028
,Атрякле,village,55.4620955,53.3512282,,атрякле,way/191050282
Актанышский район,Атясево,village,55.6163301,53.6357806,,атясево,node/606106358
Кайбицкий район,Афанасьевка,hamlet,55.4282062,48.2122609,,афанасьевка,node/1344097744
,Ахмаметьево,hamlet,55.0817079,48.1807206,,ахмаметьево,way/188312968
Мамадышский район,Ахманово,hamlet,55.8593319,51.2986588,,ахманово,way/72747750
Аксубаевский район,Ахматка,hamlet,54.6543477,50.818883,,ахматка,way/314235600
,Ахматовка,hamlet,55.6214554,53.3441799,,ахматовка,way/191042235
Нурлатский район,Ахметово,village,54.3913447,50.6321772,,ахметово,node/850784836
Заинский район,Ахметьево,hamlet,55.4629323,52.1615597,,ахметьево,way/61165474
Актанышский район,Ахуново,hamlet,55.5215254,53.9517509,,ахуново,node/606106145
,Ачи,hamlet,55.4164332,51.2890197,,ачи,way/69413487
,Аш-Бузи,village,56.2853272,50.7354828,,аш-бузи,way/357061556
,Ашабаш,village,56.0192987,49.7789778,,ашабаш,way/345701036
,Ашитбаш,village,56.3255235,49.7714155,,ашитбаш,way/204203231
,Ашпайково,hamlet,55.9526263,52.31834,,ашпайково,relation/19212069
,Аю,village,55.6177607,53.2658127,,аю,way/191042236
,Аюкудерган,village,55.2496917,48.0628996,,аюкудерган,node/761010961
Бавлинский район,Бавлы,town,54.4055434,53.2805024,,бавлы,way/46270127
,Багаево,village,55.4870404,48.1455646,,багаево,way/215182190
,посёлок Баганинского лесхоза,hamlet,55.1056213,50.4787445,,баганинского лесхоза,way/761160592
,Багишево,village,55.2757105,48.0912237,,багишево,node/761010954
,Багряж,hamlet,54.8385266,51.8330184,,багряж,way/73269349
,Багряж-Никольское,hamlet,54.9568471,51.605137,,багряж-никольское,way/73076760
,Бажениха,hamlet,55.9615658,51.5117141,,бажениха,way/108972890
Алькеевский район,Базарные Матаки,town,54.9117523,49.9311133,,базарные матаки,way/92384417
,Базаровка,hamlet,54.4839573,52.7247536,,базаровка,relation/10341760
,Базяково,hamlet,55.1384125,49.7299254,,базяково,way/69413457
Тукаевский район,Бай-Буляк,hamlet,55.436654,52.4462079,,бай-буляк,node/594677097
Нижнекамский район,Байгулово,hamlet,55.5011894,51.7167878,,байгулово,way/241497874
,Байданкино,hamlet,55.5159912,51.6969931,,байданкино,way/241583466
Арский район,Байкал,village,56.50543,49.7466426,,байкал,node/698656790
,Байлар,hamlet,55.029074,52.5274089,,байлар,way/73269055
Ютазинский район,Байларово,village,54.6050247,53.4913863,,байларово,way/59932219
,Байлянгар,village,56.207971,50.7185896,621,байлянгар,way/282885532
,Баймат,hamlet,55.093665,48.8617694,,баймат,way/231881786
,Баймурзино,hamlet,55.2807504,47.8589822,,баймурзино,way/118229835
Заинский район,Байрак,hamlet,55.4840088,51.949749,,байрак,way/61492317
,Байрашево,village,55.1120401,48.6328482,,байрашево,way/92647892
Ютазинский район,Байряка,village,54.7107193,53.3825523,,байряка,relation/18398179
Ютазинский район,Байряки-Тамак,village,54.72672,53.4858005,,байряки-тамак,node/604962814
,Байрякино,hamlet,54.6674109,53.1252942,,байрякино,node/783928756
,Байтеряково,hamlet,55.357889,50.366864,,байтеряково,way/70273296
,Байтуганово,hamlet,55.9615154,53.3021005,,байтуганово,way/119286618
,Бакабизово,hamlet,55.3408665,53.6565465,,бакабизово,node/781494493
,Бакалекуль,locality,55.2956114,49.3157601,,бакалекуль,node/10250282576
,Бакалы,hamlet,54.2947665,53.4077574,,бакалы,way/60320344
,Бакирово,village,54.5399015,52.0417133,,бакирово,way/329925746
,Бакрче,village,55.2513551,48.1954222,,бакрче,node/336524264
,Бакрчи,village,54.7501081,48.4542024,,бакрчи,way/106475931
Новошешминский район,Бакташ,hamlet,55.1964756,51.3814264,,бакташ,node/852781720
,Бакча,locality,56.4691939,50.0466514,,бакча,node/8185991995
,Бакча-Сарай,village,55.6346114,48.9509054,,бакча-сарай,relation/19701431
Тукаевский район,Бакчасарай,village,55.5533952,52.0863417,,бакчасарай,way/293466033
,Бакшанда,hamlet,56.075729,50.2749426,,бакшанда,node/805047975
,Бал-Тамак,hamlet,55.2255639,52.8183427,,бал-тамак,way/204389212
Азнакаевский район,Балан-Буляк,hamlet,55.0902334,52.9847499,,балан-буляк,way/321544058
Тюлячинский район,Баландыш,village,55.8356925,50.4613578,,баландыш,node/801855481
,Баланлы,hamlet,54.6679599,52.7551358,,баланлы,way/88028395
,Баланны,village,55.1927345,53.0419102,,баланны,way/191694624
,Балахчино,hamlet,55.3068304,49.930914,,балахчино,way/69308922
,Балды-Кня,hamlet,56.1673439,50.5570371,,балды-кня,way/284940829
,Балтаево,hamlet,55.6338599,52.8393885,,балтаево,way/251049831
,Балтаси,town,56.3441783,50.2010339,,балтаси,relation/17472814
,Балтачево,village,55.1627087,48.9702487,,балтачево,way/57364552
,Балчиклы,hamlet,55.306733,48.9075118,,балчиклы,way/58474386
Нижнекамский район,Балчыклы,village,55.5527711,51.8176287,,балчыклы,way/241414698
,Балыклы,hamlet,55.8382292,50.1380042,,балыклы,way/308023082
,Балыклы-Чукаево,village,55.5908948,50.1111071,,балыклы-чукаево,way/123111443
,Балымеры,village,54.8503299,48.964343,,балымеры,way/68734836
,Банки-Сухояш,hamlet,54.9692931,53.1567355,,банки-сухояш,way/352935086
,Баргузино,hamlet,55.2173492,49.0566692,,баргузино,way/59586077
,Барсил,locality,55.8331935,49.3910802,,барсил,relation/19208674
,Барское поле,locality,56.022693,51.3390766,,барское поле,node/6788834673
,Барсуково,hamlet,55.8135084,53.8496375,,барсуково,way/532551624
,Барсучьи норы,locality,55.6569204,51.5102567,,барсучьи норы,node/11065789342
Мамадышский район,Баскан,hamlet,55.666862,50.8345623,,баскан,way/71819463
,Баткак,hamlet,55.1288798,52.4013023,,баткак,way/112232849
,Батраково,locality,55.7938027,52.6715684,,батраково,node/11042175942
,Батыр,hamlet,54.6062271,52.8685645,,батыр,way/88028353
,Бахта,hamlet,55.1903753,50.5644218,,бахта,way/70467710
,Бахтаче,hamlet,56.3524915,49.2385938,,бахтаче,way/121804517
,Бахтияр,hamlet,56.2079605,49.6069191,,бахтияр,way/121804524
,Бахчасарай,hamlet,54.8018017,52.6954941,,бахчасарай,relation/1135878
,Баюково,village,55.2202388,53.586289,,баюково,way/192056432
Заинский район,Бегишево,village,55.4903832,52.0290337,,бегишево,way/61492309
,Белая Гора,village,55.2911097,50.5006137,,белая гора,way/70467575
,Белкино,village,55.8934319,49.8717788,,белкино,way/121240462
,Бело-Безводное,village,55.9264542,48.7640181,,бело-безводное,way/118063921
Аксубаевский район,Беловка,hamlet,54.7106172,50.9552951,,беловка,way/295235782
,Беловолжка Татарская,hamlet,55.0315466,48.1060679,,беловолжка татарская,way/121529690
,Беловолжка Чувашская,hamlet,55.0561835,48.0850214,,беловолжка чувашская,way/121529695
,Белозёрка,locality,54.5226634,50.0045444,,белозерка,way/1362566686
,Белопахотный,hamlet,55.690662,52.9685684,,белопахотный,way/140486043
,Белоус,village,55.855106,52.4731258,,белоус,way/61326253
Мамадышский район,Белый Ключ,hamlet,55.7889688,51.1786765,,белый ключ,way/72234167
,Беляев Починок,hamlet,55.7068856,51.3353563,,беляев починок,relation/1117474
,Беляево,hamlet,55.4695038,48.4131405,,беляево,relation/19218475
,Беляково,hamlet,55.5096296,49.2326991,,беляково,way/239152919
,Бердибяково,hamlet,55.6575182,50.591671,,бердибяково,way/121853917
,Берёзка,village,56.0652365,49.2683387,,березка,relation/19208822
,Березняк,village,56.1118637,50.7989012,,березняк,way/283339050
,Берёзовая Грива,hamlet,55.2023174,49.7407523,,березовая грива,way/69413465
,Березовая Поляна,hamlet,55.9702334,51.409058,,березовая поляна,way/775750497
,Берёзовая роща,locality,55.7155807,52.65069,,березовая роща,node/11042174452
,Березовка,village,54.5736067,52.7833333,,березовка,way/88028322
Мамадышский район,Березовский,hamlet,55.5365453,51.0428086,,березовский,way/71933592
Черемшанский район,Беркет-Ключ,village,54.8140651,51.6313604,,беркет-ключ,node/337839180
,Берлек,hamlet,54.3780634,52.8005855,,берлек,way/88107580
Нурлатский район,Берлек-Михайловка,hamlet,54.5443804,50.3173503,,берлек-михайловка,node/850908751
Высокогорский район,Берли,hamlet,56.1332007,49.3277651,,берли,node/825448469
,Берлибаш,village,55.3547518,48.1363234,,берлибаш,way/199426583
,Берляково,locality,56.0668612,49.3971383,,берляково,node/10542793835
,Берляш,hamlet,55.3869239,48.572992,,берляш,way/138210948
,Берновые Ковали,hamlet,55.986359,49.041031,,берновые ковали,node/814780235
,Берсут,village,55.4997344,50.8529186,,берсут,way/71819484
,Берсут-Сукаче,hamlet,55.6838122,50.8330407,,берсут-сукаче,way/71819473
,Бессониха,hamlet,55.7071767,51.4554722,,бессониха,way/71436581
,Бессоново,village,54.6702202,48.46172,,бессоново,way/106476160
,Бетьки,village,55.6675049,52.1371279,,бетьки,relation/19212033
,Бехтерево,village,55.831971,52.1180429,,бехтерево,way/61326228
Алькеевский район,Бибаево-Челны,hamlet,55.0020571,50.0629644,,бибаево-челны,node/847764526
,Бибеево,hamlet,55.2561584,48.986469,,бибеево,way/159204749
Ютазинский район,Биек-Тау,hamlet,54.6145198,53.258203,,биек-тау,way/61228279
,Биектау,village,55.6076355,50.6748867,,биектау,way/123003741
,Биерь,hamlet,56.2423227,50.6131405,,биерь,way/284775877
,Бизяки,village,55.9274718,52.4521529,,бизяки,way/62313577
,Бик-Утеево,village,55.1306606,48.0908642,,бик-утеево,way/59151531
,Бикасаз,hamlet,55.0176549,52.4321575,,бикасаз,way/73269540
,Бикбулово,village,55.6499774,53.4425076,,бикбулово,way/190578425
,Бикеево,hamlet,55.2449894,48.833279,,бикеево,way/238289294
,Бикет,locality,55.9825798,48.9240457,,бикет,node/6411795957
,Биклянское лесничество,hamlet,55.5733897,51.8060997,,биклянское лесничество,relation/15716172
Тукаевский район,Биклянь,village,55.6199138,52.143538,,биклянь,node/546354031
,Бикмесь,hamlet,55.3044654,53.3885632,,бикмесь,way/191684186
Буинский район,Бикмуразово,village,55.0053628,48.3309397,,бикмуразово,relation/1188320
,Бикнарат,hamlet,56.1821999,49.0099105,,бикнарат,way/90558804
,Биктово,village,56.3826268,52.9056725,,биктово,relation/8081605
,Биктяшево,hamlet,56.3941653,50.3233342,,биктяшево,node/794066604
Нурлатский район,Бикулово,village,54.3640495,50.5525263,,бикулово,node/336525382
,Бикчураево,village,55.6635552,50.6900061,,бикчураево,way/121853922
Нурлатский район,Биляр-Озеро,village,54.5032523,50.47587,559,биляр-озеро,node/336525149
Алексеевский район,Билярск,village,54.982402,50.3823494,,билярск,relation/3937582
,Бима,village,55.6157913,49.5070594,,бима,way/56121722
Арский район,Бимери,hamlet,56.2560573,50.1057782,,бимери,node/762080317
,Бирюли,hamlet,55.9679369,49.4195775,,бирюли,relation/19208664
,посёлок Бирюлинского зверосовхоза,village,55.9667281,49.3938149,,бирюлинского зверосовхоза,relation/19208665
,Бирючевка,village,54.694431,52.79732,,бирючевка,way/88028533
,Битлянгур,hamlet,56.0340051,51.1226678,,битлянгур,way/263989010
,Бишалабы,hamlet,55.2616453,48.8641056,,бишалабы,way/169422461
Зеленодольский район,Бишбатман,hamlet,55.6981662,48.4112344,,бишбатман,way/120627155
,Бишево,village,55.2267651,48.4572524,,бишево,relation/19218481
Альметьевский район,Бишмунча,village,54.8589089,52.5961876,,бишмунча,way/37953131
,Бишня,village,55.9980129,48.9326024,,бишня,node/701913328
,Биюрган,village,55.8362209,52.8190551,,биюрган,node/593611635
Новошешминский район,Благодаровка,hamlet,55.0809819,50.8994034,,благодаровка,relation/10529116
Нижнекамский район,Благодатная,village,55.136535,51.5338363,,благодатная,way/244076964
,Благодатный,hamlet,54.7930349,52.8095365,,благодатный,way/87944754
,Богатые Сабы,town,56.0070683,50.4601906,,богатые сабы,relation/15880094
,Богатый Ключ,hamlet,54.2736336,53.1896385,,богатый ключ,way/338576989
,Богатый лог,locality,55.8141475,52.302711,,богатый лог,node/10138303851
Тетюшский район,Богдашкино,village,54.808377,48.7347696,375,богдашкино,node/787108829
,Богодаровка,hamlet,55.4398927,53.0701733,,богодаровка,way/191552280
Пестречинский район,Богородское,village,55.7450728,49.3872824,,богородское,node/382607928
,Боламык,hamlet,55.2091097,52.6071926,,боламык,way/190897660
Спасский район,Болгар,town,54.974139,49.0318459,,болгар,way/68094980
,Болгар-1,hamlet,54.9965264,52.507462,,болгар-1,way/73269188
Альметьевский район,Болгар-2,hamlet,55.0608745,52.3895838,,болгар-2,way/73269420
,Болгары,village,54.9845214,49.0506721,,болгары,way/160902186
,Болтаево,hamlet,55.0184807,52.3428666,,болтаево,way/73269428
Дрожжановский район,Большая Акса,village,54.6290172,47.4988956,983,большая акса,node/336524980
Атнинский район,Большая Атня,town,56.2506602,49.4464618,,большая атня,way/121536367
,Большая Елань,hamlet,55.869813,49.6122864,,большая елань,relation/19205494
,Большая Елга,village,55.4287274,49.8875654,,большая елга,way/123003745
,Большая Ерыкса,village,56.0250878,52.2074494,,большая ерыкса,way/333417570
,Большая Карланга,hamlet,54.9872973,48.4137075,,большая карланга,node/795841840
,Большая Качка,village,55.8179205,51.9628293,,большая качка,way/61326244
,Большая Куланга,hamlet,55.4198057,48.4080246,,большая куланга,way/1143183413
,Большая Кульга,village,55.5137302,50.3601107,,большая кульга,way/123003719
Тюлячинский район,Большая Меша,village,55.8186119,50.5255471,,большая меша,node/802084071
,Большая Осиновка,hamlet,55.5372788,50.2750221,,большая осиновка,way/123111455
,Большая Покровка,hamlet,54.532369,52.9793601,,большая покровка,way/60320312
Алькеевский район,Большая Поляна,hamlet,54.6479248,49.7902177,,большая поляна,node/847668625
Нижнекамский район,Большая Сосновка,hamlet,55.1637324,51.4745145,,большая сосновка,node/779172038
,Большая Тарловка,village,55.7968878,52.0132196,,большая тарловка,way/71436595
,Большая Турма,village,55.0555689,48.6609115,,большая турма,way/232292906
Дрожжановский район,Большая Цильна,village,54.6902867,47.8545359,,большая цильна,way/275157708
Тукаевский район,Большая Шильна,village,55.7801175,52.4994585,,большая шильна,relation/15017318
Мамадышский район,Большая Шия,village,55.8933237,51.3265956,,большая шия,way/72747419
,Большая Шухата,hamlet,56.2127246,49.3129316,,большая шухата,way/121804529
,Большая Янгасала,village,55.2807765,48.988961,,большая янгасала,way/58478245
,Большие Армалы,village,55.7740196,51.7629378,,большие армалы,way/71436564
,Большие Атряси,village,55.1052313,48.7721351,,большие атряси,way/231814569
,Большие Аты,village,55.3993949,51.7434616,,большие аты,way/212009219
Зеленодольский район,Большие Ачасыры,village,55.7088428,48.3453681,,большие ачасыры,way/121241971
,Большие Берези,village,56.2192069,49.2680479,,большие берези,way/121536362
,Большие Болгояры,village,55.2246288,48.8084806,,большие болгояры,way/238286636
,Большие Буртасы,village,55.2709648,48.9128173,,большие буртасы,way/58478190
,Большие Бутырки,hamlet,55.8282169,49.7231943,,большие бутырки,way/121240486
,Большие Верези,village,56.087655,49.8380616,,большие верези,node/762107244
Пестречинский район,Большие Дюртили,hamlet,55.7303726,49.6033613,,большие дюртили,node/806508224
,Большие Кабаны,village,55.6475416,49.3066702,,большие кабаны,way/98578225
,Большие Кайбицы,village,55.4061658,48.19358,,большие кайбицы,node/761247155
,Большие Кармалы,village,55.2116045,49.1297012,,большие кармалы,way/58474365
,Большие Кибя-Кози,village,55.9560054,50.1921928,,большие кибя-кози,node/801834208
Сабинский район,Большие Кибячи,village,55.827082,50.6414396,,большие кибячи,node/803531449
,Большие Ключи,village,55.9850577,48.8062332,,большие ключи,relation/19208954
,Большие Кляри,village,55.2240539,48.9637776,,большие кляри,way/59585980
,Большие Ковали,village,56.0299995,49.0650302,,большие ковали,way/95908672
,Большие Кокузы,village,55.309561,48.6583297,,большие кокузы,way/137192538
,Большие Кургузи,village,55.9981324,48.8476415,,большие кургузи,relation/19208819
,Большие Лызи 1-е,hamlet,56.3548054,50.1611036,,большие лызи 1-е,way/148669654
,Большие Лызи 2-е,hamlet,56.3631165,50.1714702,,большие лызи 2-е,way/203575746
,Большие Меми,village,55.4006289,48.6736348,,большие меми,way/302388489
Тюлячинский район,Большие Меретяки,hamlet,55.7282375,50.256382,,большие меретяки,node/802093023
,Большие Метески,village,55.8848252,50.0862777,,большие метески,node/801846871
,Большие Нырси,village,55.7393931,50.3133057,,большие нырси,way/98977143
,Большие Нырты,village,55.9678086,50.7197383,,большие нырты,relation/18336198
,Большие Полянки,village,55.0513773,50.2241901,,большие полянки,relation/7295913
Тюлячинский район,Большие Савруши,hamlet,55.8038535,50.5634842,,большие савруши,node/802084074
,Большие Салтыки,village,55.262243,49.0690984,,большие салтыки,relation/19218326
,Большие Тарханы,village,54.7060665,48.5457212,,большие тарханы,way/100968435
Алексеевский район,Большие Тиганы,village,55.1308552,50.1447946,,большие тиганы,relation/7241650
Тюлячинский район,Большие Тюлязи,hamlet,55.852077,50.3753555,,большие тюлязи,node/801855476
,Большие Уськи,hamlet,55.9401625,51.155685,,большие уськи,way/72747344
,Большие Ширданы,village,55.7586403,48.4464373,,большие ширданы,way/95015757
